chr	start	end	name	score	strand	gc	gc_bin	chrom	feature_id	feature_bin	feature_type_top	feature_types	gene_name	gene_id	transcript_ids	gene_type_top	transcript_type_top	gene_types	transcript_types	input_sum	clip_sum	enrichment_n	enrichment_l2or_min	enrichment_l2or_mean	enrichment_l2or_max	p_max	p_min	q_max	q_min
chr19	4036075	4036174	5217993	0	+	0.484848	(0.453,0.49]	chr19	549029	21	INTRON	INTRON	PIAS4	ENSG00000105229.7	ENST00000262971.3	protein_coding	protein_coding	protein_coding	protein_coding	0	106	2	6.57522	7.09028	7.60534	4.1837e-6	5.10636e-9	0.00179213	2.62374e-5
chr16	18396157	18396257	4781933	0	-	0.69	(0.59,1]	chr16	491649	2	SS3_PROX	SS3_PROX:INTRON	PKD1P5	ENSG00000254681.6	ENST00000532415.5:ENST00000544578.1	transcribed_unprocessed_pseudogene	processed_transcript	transcribed_unprocessed_pseudogene	processed_transcript:transcribed_unprocessed_pseudogene	0	167	2	6.99535	7.06932	7.14329	4.89799e-5	1.10333e-5	0.00603468	0.00260657
chr12	123510593	123510692	4036729	0	-	0.484848	(0.453,0.49]	chr12	413546	107	INTRON	INTRON	RILPL1	ENSG00000188026.13	ENST00000636882.1	protein_coding	protein_coding	protein_coding	protein_coding	0	106	2	6.88085	7.055845	7.23084	2.82182e-7	2.0451e-7	5.19766e-4	2.07718e-4
chr9	133254385	133254484	3238987	0	-	0.535354	(0.53,0.59]	chr9	319037	204	INTRON	INTRON	ABO	ENSG00000175164.16	ENST00000679909.1	protein_coding	protein_coding	protein_coding	protein_coding	0	158	2	6.06038	7.0192250000000005	7.97807	1.84322e-5	6.55116e-8	0.00372694	2.90494e-4
chr7	44796793	44796890	2436404	0	+	0.793814	(0.59,1]	chr7	244406	1	SS5_ADJ	SS5_ADJ:SS5_PROX:INTRON	PPIA	ENSG00000196262.15	ENST00000451562.5:ENST00000468812.6:ENST00000676977.1:ENST00000355968.10:ENST00000489459.5:ENST00000415933.5:ENST00000620047.5:ENST00000678643.1	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron:nonsense_mediated_decay	2	609	2	6.71736	6.985365	7.25337	7.23376e-7	4.34526e-7	8.19229e-4	3.4194e-4
chr22	35343641	35343740	5603995	0	+	0.484848	(0.453,0.49]	chr22	607249	45	INTRON	INTRON	TOM1	ENSG00000100284.22	ENST00000411850.5:ENST00000449058.7	protein_coding	protein_coding	protein_coding	protein_coding	0	97	2	6.39887	6.955035	7.5112	8.39099e-6	8.35509e-9	0.00246559	3.64904e-5
chr19	4035077	4035177	5217983	0	+	0.75	(0.59,1]	chr19	549029	11	INTRON	INTRON	PIAS4	ENSG00000105229.7	ENST00000262971.3	protein_coding	protein_coding	protein_coding	protein_coding	0	163	2	6.40636	6.92075	7.43514	7.05326e-5	2.23335e-5	0.00841661	0.00395551
chr16	15138654	15138754	4777917	0	-	0.69	(0.59,1]	chr16	491132	2	SS3_PROX	SS3_PROX:INTRON	PKD1P6	ENSG00000250251.6	ENST00000343738.10	transcribed_unprocessed_pseudogene	transcribed_unprocessed_pseudogene	transcribed_unprocessed_pseudogene	transcribed_unprocessed_pseudogene	0	155	2	6.59688	6.91487	7.23286	3.91209e-5	3.85426e-5	0.00590186	0.00539875
chr13	113858100	113858199	4189737	0	-	0.494949	(0.49,0.53]	chr13	427157	97	INTRON	INTRON	GAS6	ENSG00000183087.15	ENST00000327773.7	protein_coding	protein_coding	protein_coding	protein_coding	0	112	2	6.25415	6.88716	7.52017	4.53675e-6	1.1544e-7	0.0015121	3.03764e-4
chr22	49901788	49901886	5682706	0	-	0.510204	(0.49,0.53]	chr22	617551	17	UTR3	UTR3:EXON_MRNA	ALG12	ENSG00000182858.14	ENST00000330817.11	protein_coding	protein_coding	protein_coding	protein_coding	0	95	2	6.52801	6.886340000000001	7.24467	6.39224e-6	4.20113e-8	0.0022427	8.43247e-5
chr9	137716425	137716525	3133893	0	+	0.58	(0.53,0.59]	chr9	308111	4	SS3_PROX	SS3_PROX:INTRON	EHMT1	ENSG00000181090.21	ENST00000460843.6:ENST00000636027.1:ENST00000626066.2	protein_coding	protein_coding	protein_coding	protein_coding	0	105	2	6.59774	6.83677	7.0758	1.16431e-5	2.4563e-7	0.00285948	2.35775e-4
chr19	4053174	4053273	5311770	0	-	0.585859	(0.53,0.59]	chr19	566837	46	INTRON	INTRON	ZBTB7A	ENSG00000178951.9	ENST00000601588.1	protein_coding	protein_coding	protein_coding	protein_coding	0	119	2	6.2569	6.831885	7.40687	8.32879e-6	5.9097e-7	0.0021524	7.77527e-4
chr16	85569953	85570053	4748154	0	+	0.55	(0.53,0.59]	chr16	486030	132	INTRON	INTRON	GSE1	ENSG00000131149.19	ENST00000637419.1:ENST00000635906.1	protein_coding	protein_coding	protein_coding	protein_coding	0	106	2	6.65564	6.814225	6.97281	2.99369e-6	1.55779e-6	0.00151075	7.73143e-4
chr19	49463055	49463155	5287569	0	+	0.71	(0.59,1]	chr19	561685	3	SS5_PROX	SS5_PROX:INTRON	ALDH16A1	ENSG00000161618.10	ENST00000293350.9:ENST00000455361.6	protein_coding	protein_coding	protein_coding	protein_coding	0	140	2	6.51662	6.8118	7.10698	2.51295e-4	7.68492e-6	0.0142301	0.00207182
chr11	126276319	126276393	3633787	0	+	0.621622	(0.59,1]	chr11	363521	1	SS3_ADJ	SS3_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	FOXRED1	ENSG00000110074.11	ENST00000263578.10:ENST00000534315.5:ENST00000530642.1	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron	0	141	2	6.46341	6.779865	7.09632	5.91898e-5	5.55079e-5	0.00747134	0.00633809
chr19	4035476	4035576	5217987	0	+	0.57	(0.53,0.59]	chr19	549029	15	INTRON	INTRON	PIAS4	ENSG00000105229.7	ENST00000262971.3	protein_coding	protein_coding	protein_coding	protein_coding	0	132	2	5.83281	6.7734000000000005	7.71399	4.49139e-5	1.82546e-7	0.00636881	4.48322e-4
chr13	97329777	97329877	4090386	0	+	0.41	(0.387,0.42]	chr13	418481	530	INTRON	INTRON	MBNL2	ENSG00000139793.19	ENST00000343600.8	protein_coding	protein_coding	protein_coding	protein_coding	0	81	2	6.16669	6.768535	7.37038	1.63621e-5	1.37562e-8	0.00337115	5.00664e-5
chr19	41894926	41895004	5274461	0	+	0.717949	(0.59,1]	chr19	559260	2	SSB_PROX	SSB_PROX:SS3_PROX:SS5_PROX:INTRON	ARHGEF1	ENSG00000076928.18	ENST00000354532.8:ENST00000378152.8	protein_coding	protein_coding	protein_coding	protein_coding	0	143	2	6.13808	6.760605	7.38313	6.46674e-4	3.10505e-6	0.0250503	0.00122013
chr16	89411888	89411988	4846349	0	-	0.64	(0.59,1]	chr16	501095	945	INTRON	INTRON	ANKRD11	ENSG00000167522.16	ENST00000301030.10:ENST00000644784.1:ENST00000643147.1	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron	0	135	2	6.46825	6.760245	7.05224	2.84119e-4	9.17929e-6	0.0154007	0.00233761
chr12	123510792	123510891	4036731	0	-	0.515152	(0.49,0.53]	chr12	413546	109	INTRON	INTRON	RILPL1	ENSG00000188026.13	ENST00000636882.1	protein_coding	protein_coding	protein_coding	protein_coding	0	91	2	6.45808	6.74297	7.02786	1.81062e-6	8.8111e-7	8.54896e-4	8.32287e-4
chr12	104670771	104670871	3862972	0	+	0.48	(0.453,0.49]	chr12	391702	684	INTRON	INTRON	CHST11	ENSG00000171310.11	ENST00000303694.6:ENST00000549260.5:ENST00000549016.1	protein_coding	protein_coding	protein_coding	protein_coding	0	82	2	6.24041	6.727869999999999	7.21533	1.54895e-5	3.83508e-8	0.00329837	8.37477e-5
chr19	4036973	4037073	5218002	0	+	0.63	(0.59,1]	chr19	549030	2	SS3_PROX	SS3_PROX:INTRON	PIAS4	ENSG00000105229.7	ENST00000262971.3	protein_coding	protein_coding	protein_coding	protein_coding	0	158	2	5.8866	6.721185	7.55577	3.30954e-4	1.60848e-5	0.0211937	0.00335987
chr10	70704739	70704838	3295891	0	+	0.464646	(0.453,0.49]	chr10	325668	19	INTRON	INTRON	ADAMTS14	ENSG00000138316.11	ENST00000373207.2:ENST00000373208.5	protein_coding	protein_coding	protein_coding	protein_coding	0	93	2	5.62275	6.69986	7.77697	1.48735e-4	2.06322e-9	0.0107226	1.80221e-5
chr13	113859393	113859492	4189750	0	-	0.424242	(0.42,0.453]	chr13	427157	110	INTRON	INTRON	GAS6	ENSG00000183087.15	ENST00000327773.7	protein_coding	protein_coding	protein_coding	protein_coding	2	210	2	6.20445	6.677025	7.1496	2.6737e-7	4.35195e-10	5.18402e-4	8.96771e-6
chr22	20122797	20122897	5577363	0	+	0.57	(0.53,0.59]	chr22	604126	1	SS5_PROX	SS5_PROX:INTRON	RANBP1	ENSG00000099901.17	ENST00000435265.5:ENST00000430524.6:ENST00000402752.5:ENST00000331821.7:ENST00000423859.5:ENST00000418705.2:ENST00000448394.2	protein_coding	protein_coding	protein_coding	protein_coding:nonsense_mediated_decay:processed_transcript	0	94	2	6.65375	6.6719100000000005	6.69007	9.53359e-6	1.3429e-6	0.00258241	7.15249e-4
chr10	131952885	131952985	3360076	0	+	0.59	(0.53,0.59]	chr10	332628	47	INTRON	INTRON	PPP2R2D	ENSG00000175470.20	ENST00000482010.6:ENST00000490777.3	protein_coding	retained_intron	protein_coding	retained_intron:nonsense_mediated_decay	0	92	2	6.53947	6.648009999999999	6.75655	1.43179e-5	1.00665e-6	0.00321621	5.8232e-4
chr22	35343838	35343937	5603997	0	+	0.515152	(0.49,0.53]	chr22	607249	47	INTRON	INTRON	TOM1	ENSG00000100284.22	ENST00000411850.5:ENST00000449058.7	protein_coding	protein_coding	protein_coding	protein_coding	0	80	2	6.38875	6.64654	6.90433	1.09075e-5	2.22581e-7	0.00270138	2.18452e-4
chr21	10426883	10426983	5505426	0	+	0.58	(0.53,0.59]	chr21	595795	116	INTRON	INTRON	BAGE2	ENSG00000187172.15	ENST00000474011.5:ENST00000470054.5	transcribed_unprocessed_pseudogene	processed_transcript	transcribed_unprocessed_pseudogene	processed_transcript	0	91	2	6.53947	6.63158	6.72369	1.43179e-5	1.16105e-6	0.00321621	6.543e-4
chr4	2650422	2650522	1444783	0	+	0.68	(0.59,1]	chr4	153254	32	INTRON	INTRON	FAM193A	ENSG00000125386.16	ENST00000637812.2	protein_coding	protein_coding	protein_coding	protein_coding	0	122	2	6.51662	6.62945	6.74228	2.51295e-4	2.4771e-5	0.0142301	0.00447976
chr22	49642204	49642304	5681995	0	-	0.61	(0.59,1]	chr22	617478	2006	INTRON	INTRON	C22orf34	ENSG00000188511.12	ENST00000414287.5	lncRNA	lncRNA	lncRNA	lncRNA	0	133	2	6.08141	6.620010000000001	7.15861	1.87556e-4	4.70172e-5	0.0148662	0.00584224
chr12	123510294	123510393	4036726	0	-	0.616162	(0.59,1]	chr12	413546	104	INTRON	INTRON	RILPL1	ENSG00000188026.13	ENST00000636882.1	protein_coding	protein_coding	protein_coding	protein_coding	0	128	2	6.1868	6.60901	7.03122	1.37126e-4	6.59781e-5	0.012464	0.00677039
chr22	49638704	49638804	5681960	0	-	0.37	(0.357,0.387]	chr22	617478	1971	INTRON	INTRON	C22orf34	ENSG00000188511.12	ENST00000414287.5	lncRNA	lncRNA	lncRNA	lncRNA	0	75	2	6.16119	6.605015	7.04884	5.12955e-6	3.14957e-7	0.00164125	5.27395e-4
chr22	49901886	49901983	5682707	0	-	0.505155	(0.49,0.53]	chr22	617551	18	UTR3	UTR3:EXON_MRNA	ALG12	ENSG00000182858.14	ENST00000330817.11	protein_coding	protein_coding	protein_coding	protein_coding	0	79	2	6.10711	6.60347	7.09983	3.12794e-5	8.5977e-8	0.00480637	1.14165e-4
chr16	15138754	15138854	4777918	0	-	0.7	(0.59,1]	chr16	491132	3	SS3_PROX	SS3_PROX:INTRON	PKD1P6	ENSG00000250251.6	ENST00000343738.10	transcribed_unprocessed_pseudogene	transcribed_unprocessed_pseudogene	transcribed_unprocessed_pseudogene	transcribed_unprocessed_pseudogene	0	120	2	6.51829	6.59623	6.67417	1.67842e-4	4.99558e-5	0.0112831	0.00677575
chr22	35340376	35340475	5603962	0	+	0.585859	(0.53,0.59]	chr22	607249	12	INTRON	INTRON	TOM1	ENSG00000100284.22	ENST00000411850.5:ENST00000449058.7	protein_coding	protein_coding	protein_coding	protein_coding	0	99	2	6.06038	6.589815	7.11925	1.84322e-5	1.74132e-6	0.00372694	0.00114551
chr10	131952486	131952586	3360072	0	+	0.59	(0.53,0.59]	chr10	332628	43	INTRON	INTRON	PPP2R2D	ENSG00000175470.20	ENST00000482010.6:ENST00000490777.3	protein_coding	retained_intron	protein_coding	retained_intron:nonsense_mediated_decay	0	88	2	6.5689	6.576565	6.58423	1.28999e-5	2.11578e-6	0.00302689	9.56786e-4
chr22	35344333	35344432	5604002	0	+	0.666667	(0.59,1]	chr22	607249	52	INTRON	INTRON	TOM1	ENSG00000100284.22	ENST00000411850.5:ENST00000449058.7	protein_coding	protein_coding	protein_coding	protein_coding	0	127	2	6.08141	6.572775	7.06414	1.87556e-4	6.04636e-5	0.0148662	0.00649394
chr2	130037841	130037940	948940	0	-	0.69697	(0.59,1]	chr2	105977	22	INTRON	INTRON	RP11-32C20.1	ENSG00000286058.1	ENST00000325390.7	lncRNA	lncRNA	lncRNA	lncRNA	0	127	2	5.86675	6.563235	7.25972	0.00124277	4.66425e-6	0.0375265	0.0015218
chr22	49620305	49620405	5681776	0	-	0.59	(0.53,0.59]	chr22	617478	1787	INTRON	INTRON	C22orf34	ENSG00000188511.12	ENST00000414287.5	lncRNA	lncRNA	lncRNA	lncRNA	0	87	2	6.24348	6.562225	6.88097	4.01314e-5	5.83903e-7	0.0054353	4.08027e-4
chr19	4036274	4036374	5217995	0	+	0.48	(0.453,0.49]	chr19	549029	23	INTRON	INTRON	PIAS4	ENSG00000105229.7	ENST00000262971.3	protein_coding	protein_coding	protein_coding	protein_coding	0	72	2	6.19792	6.557964999999999	6.91801	1.82187e-5	1.70285e-7	0.00349561	1.77074e-4
chr19	4035376	4035476	5217986	0	+	0.64	(0.59,1]	chr19	549029	14	INTRON	INTRON	PIAS4	ENSG00000105229.7	ENST00000262971.3	protein_coding	protein_coding	protein_coding	protein_coding	0	168	2	5.33432	6.557345	7.78037	0.00151766	8.68707e-6	0.0516023	0.00246559
chr16	88771828	88771928	4843848	0	-	0.71	(0.59,1]	chr16	500994	220	INTRON	INTRON	PIEZO1	ENSG00000103335.22	ENST00000301015.14	protein_coding	protein_coding	protein_coding	protein_coding	0	121	2	5.90359	6.522965	7.14234	0.00113877	6.84887e-6	0.0352826	0.00191778
chr22	35342849	35342948	5603987	0	+	0.525253	(0.49,0.53]	chr22	607249	37	INTRON	INTRON	TOM1	ENSG00000100284.22	ENST00000411850.5:ENST00000449058.7	protein_coding	protein_coding	protein_coding	protein_coding	0	72	2	6.10711	6.48806	6.86901	3.12794e-5	2.63789e-7	0.00480637	2.45125e-4
chr22	35344531	35344630	5604004	0	+	0.656566	(0.59,1]	chr22	607249	54	INTRON	INTRON	TOM1	ENSG00000100284.22	ENST00000411850.5:ENST00000449058.7	protein_coding	protein_coding	protein_coding	protein_coding	0	123	2	5.8866	6.48346	7.08032	3.30954e-4	5.79203e-5	0.0211937	0.00633809
chr13	113858995	113859094	4189746	0	-	0.414141	(0.387,0.42]	chr13	427157	106	INTRON	INTRON	GAS6	ENSG00000183087.15	ENST00000327773.7	protein_coding	protein_coding	protein_coding	protein_coding	2	168	2	5.95537	6.466010000000001	6.97665	5.85364e-7	9.21902e-10	7.77527e-4	1.15039e-5
chr22	35344630	35344729	5604005	0	+	0.555556	(0.53,0.59]	chr22	607249	55	INTRON	INTRON	TOM1	ENSG00000100284.22	ENST00000411850.5:ENST00000449058.7	protein_coding	protein_coding	protein_coding	protein_coding	0	88	2	5.83281	6.4028100000000006	6.97281	4.49139e-5	2.99369e-6	0.00636881	0.00151075
chr16	85571252	85571352	4748167	0	+	0.5	(0.49,0.53]	chr16	486030	145	INTRON	INTRON	GSE1	ENSG00000131149.19	ENST00000637419.1:ENST00000635906.1	protein_coding	protein_coding	protein_coding	protein_coding	0	77	2	5.80858	6.38213	6.95568	3.05742e-5	1.17963e-6	0.00510636	9.657e-4
chr19	4036174	4036274	5217994	0	+	0.44	(0.42,0.453]	chr19	549029	22	INTRON	INTRON	PIAS4	ENSG00000105229.7	ENST00000262971.3	protein_coding	protein_coding	protein_coding	protein_coding	0	64	2	6.31122	6.37925	6.44728	1.23635e-5	1.62751e-6	0.00295752	7.94198e-4
chr5	80651067	80651165	1972053	0	-	0.408163	(0.387,0.42]	chr5	200259	12	INTRON	INTRON	DHFR	ENSG00000228716.7	ENST00000439211.7:ENST00000505337.5:ENST00000511032.5:ENST00000513048.5:ENST00000508282.1	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron:processed_transcript	2	162	2	6.32284	6.366805	6.41077	7.88551e-8	3.17533e-8	2.90494e-4	8.2379e-5
chr17	31937620	31937720	4891705	0	+	0.59	(0.53,0.59]	chr17	506963	1	SS5_PROX	SS5_PROX:INTRON	SUZ12	ENSG00000178691.11	ENST00000322652.10:ENST00000580398.1	protein_coding	protein_coding	protein_coding	protein_coding	2	225	2	6.28547	6.360465	6.43546	3.05145e-7	9.62778e-8	5.27395e-4	1.2014e-4
chr22	49452311	49452411	5680096	0	-	0.48	(0.453,0.49]	chr22	617478	107	INTRON	INTRON	C22orf34	ENSG00000188511.12	ENST00000414287.5	lncRNA	lncRNA	lncRNA	lncRNA	0	65	2	6.16445	6.35304	6.54163	5.94346e-6	4.78179e-6	0.00195729	0.00175705
chr19	53870138	53870238	5294551	0	+	0.74	(0.59,1]	chr19	563184	3	SS5_PROX	SS5_PROX:INTRON	MYADM	ENSG00000179820.16	ENST00000391771.1	protein_coding	protein_coding	protein_coding	protein_coding	0	102	2	6.00878	6.3521	6.69542	8.85242e-4	2.87198e-5	0.030308	0.0049578
chr22	35343047	35343146	5603989	0	+	0.535354	(0.53,0.59]	chr22	607249	39	INTRON	INTRON	TOM1	ENSG00000100284.22	ENST00000411850.5:ENST00000449058.7	protein_coding	protein_coding	protein_coding	protein_coding	0	75	2	6.04834	6.35199	6.65564	7.76364e-5	1.55779e-6	0.00746748	7.73143e-4
chr16	85515583	85515683	4747609	0	+	0.66	(0.59,1]	chr16	486025	1563	INTRON	INTRON	GSE1	ENSG00000131149.19	ENST00000637419.1	protein_coding	protein_coding	protein_coding	protein_coding	0	100	2	6.28502	6.33877	6.39252	3.4395e-4	1.02056e-4	0.0169622	0.0105372
chr19	53870038	53870138	5294550	0	+	0.72	(0.59,1]	chr19	563184	2	SS5_PROX	SS5_PROX:INTRON	MYADM	ENSG00000179820.16	ENST00000391771.1	protein_coding	protein_coding	protein_coding	protein_coding	0	102	2	5.82894	6.3193850000000005	6.80983	0.00135877	1.99934e-5	0.0387429	0.00395114
chr22	35343146	35343245	5603990	0	+	0.555556	(0.53,0.59]	chr22	607249	40	INTRON	INTRON	TOM1	ENSG00000100284.22	ENST00000411850.5:ENST00000449058.7	protein_coding	protein_coding	protein_coding	protein_coding	0	73	2	6.16856	6.31928	6.47	5.18031e-5	3.43464e-6	0.00606343	0.00128761
chr21	9815959	9816056	5543923	0	-	0.556701	(0.53,0.59]	chr21	600013	21	INTRON	INTRON	LINC01667	ENSG00000280081.4	ENST00000651542.1:ENST00000651050.1	transcribed_processed_pseudogene	processed_transcript	transcribed_processed_pseudogene	processed_transcript	0	73	2	6.04834	6.316285	6.58423	7.76364e-5	2.11578e-6	0.00746748	9.56786e-4
chr22	49623605	49623705	5681809	0	-	0.57	(0.53,0.59]	chr22	617478	1820	INTRON	INTRON	C22orf34	ENSG00000188511.12	ENST00000414287.5	lncRNA	lncRNA	lncRNA	lncRNA	0	73	2	6.30211	6.3084050000000005	6.3147	3.14158e-5	6.91594e-6	0.00480637	0.00191778
chr7	1887721	1887821	2560157	0	-	0.53	(0.49,0.53]	chr7	257552	151	INTRON	INTRON	MAD1L1	ENSG00000002822.16	ENST00000399654.6:ENST00000265854.12	protein_coding	protein_coding	protein_coding	protein_coding	0	66	2	5.63884	6.30566	6.97248	1.64576e-4	1.60099e-7	0.011186	1.68488e-4
chr12	123512784	123512883	4036751	0	-	0.494949	(0.49,0.53]	chr12	413546	129	INTRON	INTRON	RILPL1	ENSG00000188026.13	ENST00000636882.1	protein_coding	protein_coding	protein_coding	protein_coding	0	63	2	6.01539	6.30474	6.59409	4.37101e-5	9.67276e-7	0.00571006	5.70883e-4
chr13	113859890	113859990	4189755	0	-	0.57	(0.53,0.59]	chr13	427157	115	INTRON	INTRON	GAS6	ENSG00000183087.15	ENST00000327773.7	protein_coding	protein_coding	protein_coding	protein_coding	0	85	2	5.63497	6.30389	6.97281	9.47808e-5	2.99369e-6	0.00990312	0.00151075
chr19	878265	878362	5304060	0	-	0.670103	(0.59,1]	chr19	565095	7	INTRON	INTRON	MED16	ENSG00000175221.15	ENST00000325464.6:ENST00000269814.8	protein_coding	protein_coding	protein_coding	protein_coding	0	97	2	6.16867	6.30192	6.43517	5.99954e-4	6.45651e-5	0.0238679	0.00798824
chr10	131952186	131952286	3360069	0	+	0.61	(0.59,1]	chr10	332628	40	INTRON	INTRON	PPP2R2D	ENSG00000175470.20	ENST00000482010.6:ENST00000490777.3	protein_coding	retained_intron	protein_coding	retained_intron:nonsense_mediated_decay	0	98	2	6.15252	6.297985000000001	6.44345	3.02518e-4	1.51899e-4	0.0159206	0.0134703
chr10	131953085	131953185	3360078	0	+	0.58	(0.53,0.59]	chr10	332628	49	INTRON	INTRON	PPP2R2D	ENSG00000175470.20	ENST00000482010.6:ENST00000490777.3	protein_coding	retained_intron	protein_coding	retained_intron:nonsense_mediated_decay	0	72	2	6.27953	6.29082	6.30211	3.54628e-5	6.91594e-6	0.00512319	0.00191778
chrY	3137004	3137104	5919900	0	+	0.46	(0.453,0.49]	chrY	640718	1334	INTRON	INTRON	LINC00278	ENSG00000231535.7	ENST00000665487.1	lncRNA	lncRNA	lncRNA	lncRNA	0	63	2	6.03512	6.288375	6.54163	1.05255e-5	4.78179e-6	0.00252579	0.00195729
chr12	123513282	123513381	4036756	0	-	0.636364	(0.59,1]	chr12	413546	134	INTRON	INTRON	RILPL1	ENSG00000188026.13	ENST00000636882.1	protein_coding	protein_coding	protein_coding	protein_coding	0	110	2	5.61171	6.287380000000001	6.96305	7.18429e-4	7.9003e-5	0.0333621	0.00752039
chr3	195109382	195109482	1425144	0	-	0.43	(0.42,0.453]	chr3	151139	389	INTRON	INTRON	XXYLT1	ENSG00000173950.16	ENST00000310380.11	protein_coding	protein_coding	protein_coding	protein_coding	0	59	2	5.73531	6.250605	6.7659	1.03782e-4	3.56853e-7	0.00869935	3.10688e-4
chr19	47718706	47718806	5284871	0	+	0.7	(0.59,1]	chr19	560881	1	SS5_PROX	SS5_PROX:INTRON	CTD-2571L23.8:EHD2	ENSG00000268746.1:ENSG00000024422.12	ENST00000599924.1:ENST00000263277.8	protein_coding	protein_coding	protein_coding:lncRNA	protein_coding:lncRNA	0	96	2	5.79012	6.24277	6.69542	0.00148847	2.87198e-5	0.0411973	0.0049578
chr22	49452011	49452111	5680093	0	-	0.51	(0.49,0.53]	chr22	617478	104	INTRON	INTRON	C22orf34	ENSG00000188511.12	ENST00000414287.5	lncRNA	lncRNA	lncRNA	lncRNA	0	62	2	6.07973	6.23424	6.38875	1.09075e-5	9.73744e-6	0.00270138	0.00243712
chr17	80280990	80281089	4963705	0	+	0.565657	(0.53,0.59]	chr17	516301	17	INTRON	INTRON	RNF213	ENSG00000173821.19	ENST00000508628.6:ENST00000319921.4	protein_coding	protein_coding	protein_coding	protein_coding	0	70	2	5.7729	6.231485	6.69007	1.91299e-4	1.3429e-6	0.0122349	7.15249e-4
